Date,MH_Onion,WB_Potato,WB_Onion,Kolkata_Diesel
07-04-2025,1175.52,1101.96,2011.46,91.82
08-04-2025,1134.42,1101.71,1996.28,91.82
09-04-2025,1119.96,1132.52,2057.82,91.82
10-04-2025,1058.88,1123.19,2050.9,91.82
11-04-2025,1019.32,1129.3,1972.4,91.82
12-04-2025,964.73,1133,1983.7,91.82
13-04-2025,979.59,1140.09,2007.83,91.82
14-04-2025,1016.86,1113.95,1963.14,91.82
15-04-2025,979.03,1142.28,2069.2,91.82
16-04-2025,1044.35,1125.25,1953.28,91.82
17-04-2025,1056.03,1131.19,1957.42,91.82
18-04-2025,1025.54,1126.3,1950.95,91.82
19-04-2025,996.78,1174.51,1885.77,91.82
20-04-2025,1007.01,1172.75,1913.66,91.82
21-04-2025,1066.82,1177.38,1834.56,91.82
22-04-2025,1078.33,1183.15,1852.28,91.82
23-04-2025,1076.24,1193.25,1849.43,91.82
24-04-2025,1073.35,1217.58,1824,91.82
25-04-2025,1032.98,1193.53,1825.64,91.82
26-04-2025,1017,1198.44,1816.65,91.82
27-04-2025,938.45,1204.18,1825.51,91.82
28-04-2025,1032.29,1218.21,1790.13,91.82
29-04-2025,985.32,1197.85,1755.44,91.82
30-04-2025,981.53,1249.22,1777.59,91.82
01-05-2025,1026.04,1216.92,1767.79,91.82
02-05-2025,980.04,1240.31,1765.05,91.82
03-05-2025,975.75,1227.48,1761.6,91.82
04-05-2025,972.62,1265.78,1756.16,91.82
05-05-2025,982.92,1288.88,1746.29,91.82
06-05-2025,1006.96,1293.74,1755.09,91.82
07-05-2025,1002.18,1287.7,1731.63,91.82
08-05-2025,993.48,1331.04,1779.66,91.82
09-05-2025,1001.5,1325.76,1789.57,91.82
10-05-2025,983.12,1339.53,1699.32,91.82
11-05-2025,1027.82,1330.5,1727.16,91.82
12-05-2025,1049.91,1328.39,1691.57,92.02
13-05-2025,1016.04,1320.82,1677.86,92.02
14-05-2025,1016.04,1332.53,1731.31,92.02
15-05-2025,1033.48,1377.75,1732.22,92.02
16-05-2025,1003.59,1342.02,1725.67,92.02
17-05-2025,996.28,1439.09,1708.89,92.02
18-05-2025,1020.93,1363.47,1713.15,92.02
19-05-2025,998.47,1367.83,1755.55,92.02
20-05-2025,989.65,1398.22,1717.04,92.02
21-05-2025,1019.67,1366.15,1735.25,92.02
22-05-2025,1033.64,1371.94,1730.69,92.02
23-05-2025,1034.95,1346.65,1684.59,92.02
24-05-2025,1099.87,1353.58,1704.99,92.02
25-05-2025,1188.79,1360.23,1709.27,92.02
26-05-2025,1167.57,1345.62,1707.96,92.02
27-05-2025,1193.61,1359.71,1658.29,92.02
28-05-2025,1222.72,1387.3,1677.67,92.02
29-05-2025,1243.01,1343.34,1657.32,92.02
30-05-2025,1237.67,1344.43,1686.81,92.02
31-05-2025,1146.96,1318.56,1750.05,92.02
01-06-2025,1037.29,1366.82,1729.2,92.02
02-06-2025,1128.13,1356.79,1725.45,92.02
03-06-2025,1195.1,1376.04,1756.16,92.02
04-06-2025,1219.52,1358.62,1683.27,92.02
05-06-2025,1225.64,1372.34,1689.6,92.02
06-06-2025,1308.11,1331.15,1690.87,92.02
07-06-2025,1389.77,1340.32,1689.65,92.02
