All Type of Report (All Grades) for 01-Apr-2024 to 31-Mar-2026,,,,,,,,,,
State,Commodity Group,Commodity,Date,MSP,Arrival Quantity 01-04-2024 to 31-03-2026,Arrival Unit,Min Price 01-04-2024 to 31-03-2026,Modal Price,Max Price 01-04-2024 to 31-03-2026,Price Unit
Maharashtra,Vegetables,Onion,15-06-2024,-,"16,991.25",Metric Tonnes,920.63,"2,486.06","3,037.47",Rs./Quintal
Maharashtra,Vegetables,Potato,15-06-2024,-,"1,170.60",Metric Tonnes,"1,822.31","2,242.06","2,596.57",Rs./Quintal
Maharashtra,Vegetables,Onion,16-06-2024,-,"4,340.79",Metric Tonnes,"1,093.03","2,263.10","3,169.52",Rs./Quintal
Maharashtra,Vegetables,Potato,16-06-2024,-,958.7,Metric Tonnes,"2,407.17","2,613.80","2,774.13",Rs./Quintal
Maharashtra,Vegetables,Onion,17-06-2024,-,"13,763.50",Metric Tonnes,737.89,"2,257.58","2,805.15",Rs./Quintal
Maharashtra,Vegetables,Potato,17-06-2024,-,693,Metric Tonnes,"2,383.98","2,570.45","2,767.11",Rs./Quintal
Maharashtra,Vegetables,Onion,18-06-2024,-,"15,012.86",Metric Tonnes,"1,281.02","2,685.51","3,093.77",Rs./Quintal
Maharashtra,Vegetables,Potato,18-06-2024,-,"1,352.90",Metric Tonnes,"2,182.90","2,503.90","2,768.22",Rs./Quintal
Maharashtra,Vegetables,Onion,19-06-2024,-,"23,326.49",Metric Tonnes,"1,182.71","2,746.48","3,260.69",Rs./Quintal
Maharashtra,Vegetables,Potato,19-06-2024,-,"2,111.60",Metric Tonnes,"2,122.45","2,493.20","2,831.06",Rs./Quintal
Maharashtra,Vegetables,Onion,20-06-2024,-,"20,191.41",Metric Tonnes,"1,211.00","2,795.30","3,334.46",Rs./Quintal
Maharashtra,Vegetables,Potato,20-06-2024,-,"1,312.20",Metric Tonnes,"2,190.58","2,474.89","2,758.12",Rs./Quintal
Maharashtra,Vegetables,Onion,21-06-2024,-,"22,595.46",Metric Tonnes,919.37,"2,783.67","3,357.26",Rs./Quintal
Maharashtra,Vegetables,Potato,21-06-2024,-,"2,432.10",Metric Tonnes,"1,965.29","2,366.80","2,763.48",Rs./Quintal
Maharashtra,Vegetables,Onion,22-06-2024,-,"28,551.24",Metric Tonnes,"1,012.09","2,595.97","3,110.57",Rs./Quintal
Maharashtra,Vegetables,Potato,22-06-2024,-,893.2,Metric Tonnes,"2,043.43","2,397.64","2,740.96",Rs./Quintal
Maharashtra,Vegetables,Onion,23-06-2024,-,"4,174.06",Metric Tonnes,897.77,"2,350.52","3,260.29",Rs./Quintal
Maharashtra,Vegetables,Potato,23-06-2024,-,"1,391.40",Metric Tonnes,"2,377.96","2,624.12","2,873.01",Rs./Quintal
Maharashtra,Vegetables,Onion,24-06-2024,-,"20,408.62",Metric Tonnes,"1,213.36","2,701.88","3,181.63",Rs./Quintal
Maharashtra,Vegetables,Potato,24-06-2024,-,"2,315.20",Metric Tonnes,"2,101.29","2,454.46","2,769.97",Rs./Quintal
Maharashtra,Vegetables,Onion,25-06-2024,-,"16,633.54",Metric Tonnes,"1,061.04","2,773.29","3,318.21",Rs./Quintal
Maharashtra,Vegetables,Potato,25-06-2024,-,"1,578.40",Metric Tonnes,"2,085.54","2,494.64","2,829.50",Rs./Quintal
Maharashtra,Vegetables,Onion,26-06-2024,-,"20,475.14",Metric Tonnes,"1,018.60","2,643.98","3,181.54",Rs./Quintal
Maharashtra,Vegetables,Potato,26-06-2024,-,"3,249.30",Metric Tonnes,"2,278.65","2,599.00","2,893.55",Rs./Quintal
Maharashtra,Vegetables,Onion,27-06-2024,-,"21,530.12",Metric Tonnes,952.68,"2,573.08","3,163.95",Rs./Quintal
Maharashtra,Vegetables,Potato,27-06-2024,-,"2,515.90",Metric Tonnes,"2,082.90","2,439.87","2,761.08",Rs./Quintal
Maharashtra,Vegetables,Onion,28-06-2024,-,"14,820.45",Metric Tonnes,871.65,"2,501.67","3,193.73",Rs./Quintal
Maharashtra,Vegetables,Potato,28-06-2024,-,"2,205.20",Metric Tonnes,"2,132.28","2,443.33","2,782.11",Rs./Quintal
Maharashtra,Vegetables,Onion,29-06-2024,-,"16,184.00",Metric Tonnes,967.62,"2,507.68","3,150.15",Rs./Quintal
Maharashtra,Vegetables,Potato,29-06-2024,-,"1,861.50",Metric Tonnes,"2,036.31","2,451.70","2,884.89",Rs./Quintal
Maharashtra,Vegetables,Onion,30-06-2024,-,"5,404.24",Metric Tonnes,"1,254.89","2,500.06","3,228.36",Rs./Quintal
Maharashtra,Vegetables,Potato,30-06-2024,-,"1,584.60",Metric Tonnes,"2,387.37","2,691.05","3,015.83",Rs./Quintal
Maharashtra,Vegetables,Onion,01-07-2024,-,"28,236.74",Metric Tonnes,"1,295.54","2,814.01","3,254.70",Rs./Quintal
Maharashtra,Vegetables,Potato,01-07-2024,-,"2,218.70",Metric Tonnes,"2,059.82","2,488.74","2,929.69",Rs./Quintal
Maharashtra,Vegetables,Onion,02-07-2024,-,"21,964.74",Metric Tonnes,"1,039.63","2,742.00","3,293.75",Rs./Quintal
Maharashtra,Vegetables,Potato,02-07-2024,-,957.4,Metric Tonnes,"2,196.18","2,594.61","2,900.13",Rs./Quintal
Maharashtra,Vegetables,Onion,03-07-2024,-,"24,496.05",Metric Tonnes,"1,184.37","2,702.67","3,257.63",Rs./Quintal
Maharashtra,Vegetables,Potato,03-07-2024,-,"2,191.20",Metric Tonnes,"2,126.87","2,512.46","2,920.98",Rs./Quintal
Maharashtra,Vegetables,Onion,04-07-2024,-,"28,182.43",Metric Tonnes,"1,127.74","2,715.48","3,275.62",Rs./Quintal
